Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,AEP-Schätzer,Status
02.01.2026,UTC,23:15,23:30,AEP-Schätzer,Betrieblich,EUR/MWh,42.9,0.0
02.01.2026,UTC,23:30,23:45,AEP-Schätzer,Betrieblich,EUR/MWh,16.98,0.0
02.01.2026,UTC,23:45,00:00,AEP-Schätzer,Betrieblich,EUR/MWh,10.59,0.0
03.01.2026,UTC,00:00,00:15,AEP-Schätzer,Betrieblich,EUR/MWh,64.28,0.0
03.01.2026,UTC,00:15,00:30,AEP-Schätzer,Betrieblich,EUR/MWh,84.78,0.0
03.01.2026,UTC,00:30,00:45,AEP-Schätzer,Betrieblich,EUR/MWh,36.14,0.0
03.01.2026,UTC,00:45,01:00,AEP-Schätzer,Betrieblich,EUR/MWh,43.93,0.0
03.01.2026,UTC,01:00,01:15,AEP-Schätzer,Betrieblich,EUR/MWh,76.76,0.0
03.01.2026,UTC,01:15,01:30,AEP-Schätzer,Betrieblich,EUR/MWh,97.03,0.0
03.01.2026,UTC,01:30,01:45,AEP-Schätzer,Betrieblich,EUR/MWh,102.13,0.0
03.01.2026,UTC,01:45,02:00,AEP-Schätzer,Betrieblich,EUR/MWh,107.05,0.0
03.01.2026,UTC,02:00,02:15,AEP-Schätzer,Betrieblich,EUR/MWh,125.65,0.0
03.01.2026,UTC,02:15,02:30,AEP-Schätzer,Betrieblich,EUR/MWh,125.8,0.0
03.01.2026,UTC,02:30,02:45,AEP-Schätzer,Betrieblich,EUR/MWh,131.86,0.0
03.01.2026,UTC,02:45,03:00,AEP-Schätzer,Betrieblich,EUR/MWh,112.67,0.0
03.01.2026,UTC,03:00,03:15,AEP-Schätzer,Betrieblich,EUR/MWh,1.7,0.0
03.01.2026,UTC,03:15,03:30,AEP-Schätzer,Betrieblich,EUR/MWh,49.72,0.0
03.01.2026,UTC,03:30,03:45,AEP-Schätzer,Betrieblich,EUR/MWh,24.21,0.0
03.01.2026,UTC,03:45,04:00,AEP-Schätzer,Betrieblich,EUR/MWh,22.98,0.0
03.01.2026,UTC,04:00,04:15,AEP-Schätzer,Betrieblich,EUR/MWh,33.44,0.0
